id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
97916,Douglas,Perez,DouglasPerez28@gmail.com,stilettos,fabric,brown,90
67691,Tiffany,O'neill,TiffanyO'neill51@gmail.com,wedges,leather,navy,94
72818,Susan,Rivas,Susan.Rivas@gmail.com,sandals,faux-leather,white,96
28080,Angela,Hopper,AngelaHopper62@outlook.com,stilettos,leather,red,96
89958,Thomas,Benjamin,TBenjamin1981@gmail.com,sandals,faux-leather,navy,97
11853,Jonathan,Park,JP1285@gmail.com,wedges,fabric,white,98
73682,Christine,Adkins,ChristineAdkins83@gmail.com,stilettos,faux-leather,red,99
52634,Cynthia,Tanner,CTanner1976@gmail.com,stilettos,faux-leather,navy,99
33847,Walter,Fitzgerald,WalterFitzgerald65@gmail.com,ballet flats,leather,white,101
25964,Carl,Garcia,CarlGarcia53@gmail.com,wedges,faux-leather,white,101
42625,Louis,Bradford,LB4075@gmail.com,sandals,faux-leather,red,104
34994,Karen,Hobbs,KHobbs1995@outlook.com,stilettos,fabric,black,107
51530,Alexander,Franks,AlexanderFranks54@gmail.com,stilettos,fabric,white,113
60605,Jacqueline,Petty,JacquelinePetty33@gmail.com,wedges,leather,navy,113
76001,Anna,Garrett,AnnaGarrett50@outlook.com,ballet flats,leather,red,116
47829,Martha,Moreno,MM5252@gmail.com,ballet flats,fabric,brown,117
34376,Kenneth,Hess,KHess1987@gmail.com,stilettos,fabric,navy,119
83849,Ashley,Steele,ASteele1996@yahoo.com,ballet flats,leather,red,119
27329,Steven,Bryant,Steven.Bryant@gmail.com,ballet flats,faux-leather,red,121
34854,Kenneth,Cash,KennethCash47@outlook.com,stilettos,faux-leather,black,121
51997,Kyle,Dodson,Kyle.Dodson@gmail.com,stilettos,faux-leather,black,126
32398,Patricia,Carter,PCarter1994@gmail.com,sandals,leather,navy,128
16094,Donna,Slater,DonnaSlater28@gmail.com,wedges,fabric,brown,130
97706,Jean,Grimes,Jean.Grimes@outlook.com,sandals,faux-leather,black,130
77660,Bruce,White,Bruce.White@gmail.com,wedges,faux-leather,white,131
68636,Eugene,Suarez,EugeneSuarez26@yahoo.com,stilettos,faux-leather,red,136
49991,Brian,Parrish,BP4483@gmail.com,stilettos,faux-leather,red,136
33738,Peter,Weber,PW3481@gmail.com,ballet flats,leather,navy,137
14646,Rebecca,Byrd,RebeccaByrd96@hotmail.com,ballet flats,faux-leather,brown,137
72039,Wayne,Booth,WayneBooth94@gmail.com,sandals,fabric,red,138
45896,Jonathan,Horton,JH4273@gmail.com,sandals,faux-leather,white,139
78272,Jeremy,Frye,Jeremy.Frye@gmail.com,ballet flats,fabric,white,140
63778,Austin,Sharpe,Austin.Sharpe@gmail.com,stilettos,fabric,red,142
94157,Daniel,Nelson,DanielNelson43@hotmail.com,sandals,fabric,red,143
51738,Noah,Buchanan,NB2260@outlook.com,stilettos,leather,navy,148
45325,Joseph,Rollins,JosephRollins51@hotmail.com,stilettos,faux-leather,red,149
78994,Billy,Shields,BillyShields50@outlook.com,stilettos,faux-leather,brown,153
72282,Betty,Duran,BDuran1992@hotmail.com,sandals,faux-leather,navy,162
79129,David,Schroeder,DS5663@gmail.com,sandals,fabric,navy,164
67770,Timothy,Booker,TB7698@outlook.com,sandals,fabric,red,165
53574,Christine,Craft,ChristineCraft49@gmail.com,ballet flats,faux-leather,navy,166
78499,Lori,West,LW6742@gmail.com,ballet flats,leather,red,166
84147,Nathan,Hartman,Nathan.Hartman@gmail.com,sandals,faux-leather,red,173
49223,Andrew,Mills,Andrew.Mills@gmail.com,sandals,faux-leather,white,177
72971,Alan,Guthrie,AlanGuthrie41@hotmail.com,ballet flats,leather,red,179
79527,Albert,Johns,AJohns1973@gmail.com,ballet flats,faux-leather,navy,180
49212,Sandra,Hood,SHood1970@gmail.com,sandals,fabric,white,181
96090,Bobby,Wyatt,Bobby.Wyatt@outlook.com,sandals,faux-leather,red,189
95846,William,Whitney,WWhitney1997@outlook.com,wedges,faux-leather,red,189
34182,Justin,Maddox,JM3330@gmail.com,stilettos,faux-leather,navy,191
33728,Maria,Avery,MA2484@gmail.com,wedges,faux-leather,white,195
89390,Virginia,Bender,VB4991@outlook.com,sandals,leather,red,195
63429,Gregory,Head,GregoryHead36@outlook.com,stilettos,leather,red,196
84051,Catherine,Cote,CCote1972@gmail.com,sandals,fabric,red,199
30364,Hannah,Espinoza,Hannah.Espinoza@gmail.com,wedges,faux-leather,navy,200
27538,Carol,Ferguson,CF5797@gmail.com,ballet flats,leather,brown,201
65254,Betty,Daugherty,BD7840@gmail.com,stilettos,fabric,brown,205
